sale_id,sale_date,customer_id,product_id,product_name,category,quantity,unit_price,store_id,store_region
1001,2024-01-05,C001,P010,Wireless Headphones,Electronics,2,49.99,S01,North
1002,2024-01-05,C002,P020,Running Shoes,Footwear,1,89.99,S02,South
1003,2024-01-06,C003,P010,Wireless Headphones,Electronics,1,49.99,S01,North
1004,2024-01-07,C001,P030,Coffee Maker,Kitchen,1,129.99,S03,East
1005,2024-01-08,C004,P020,Running Shoes,Footwear,2,89.99,S02,South
1006,2024-01-09,C005,P040,Yoga Mat,Sports,3,24.99,S04,West
1007,2024-01-10,C002,P050,Laptop Stand,Electronics,1,39.99,S01,North
1008,2024-01-11,C006,P030,Coffee Maker,Kitchen,2,129.99,S03,East
1009,2024-01-12,C007,P060,Water Bottle,Sports,4,14.99,S04,West
1010,2024-01-13,C003,P070,Desk Lamp,Home,1,34.99,S02,South
1011,2024-01-14,C008,P010,Wireless Headphones,Electronics,1,49.99,S01,North
1012,2024-01-15,C009,P080,Blender,Kitchen,1,79.99,S03,East
1013,2024-01-16,C010,P040,Yoga Mat,Sports,2,24.99,S04,West
1014,2024-01-17,C001,P090,Book: Python Guide,Books,3,19.99,S02,South
1015,2024-01-18,C004,P100,Notebook Set,Stationery,5,9.99,S01,North
1016,2024-01-19,C002,P010,Wireless Headphones,Electronics,1,49.99,S03,East
1017,2024-01-20,C005,P030,Coffee Maker,Kitchen,1,129.99,S04,West
1018,2024-01-21,C006,P020,Running Shoes,Footwear,1,89.99,S02,South
1019,2024-01-22,C007,P060,Water Bottle,Sports,6,14.99,S01,North
1020,2024-01-23,C008,P070,Desk Lamp,Home,2,34.99,S03,East
1021,2024-01-24,C009,P050,Laptop Stand,Electronics,2,39.99,S04,West
1022,2024-01-25,C010,P080,Blender,Kitchen,1,79.99,S02,South
1023,2024-01-26,C001,P040,Yoga Mat,Sports,1,24.99,S01,North
1024,2024-01-27,C003,P100,Notebook Set,Stationery,3,9.99,S03,East
1025,2024-01-28,C005,P090,Book: Python Guide,Books,2,19.99,S04,West
